Configuration,Feature_Count,MAE,RMSE,R2,Δ_MAE_from_Baseline_%
Baseline (Base),10,1.197833989262787,3.898743461504961,0.9289397449429116,0.0
+ NPK Ratios,15,1.1907264425807234,3.8971478084150117,0.9289978992243672,0.5933665888407431
+ Climate,19,1.200690963336878,3.945166600920256,0.9272374117969898,-0.23851168857292768
+ Soil Quality,21,1.1911592900459909,3.941342198049659,0.9273784139911467,0.5572307412068066
+ Input Efficiency,26,1.097110275074037,3.71434014768816,0.9355028108236928,8.408820845928823
